userId,sessionId,gameVersion,msSinceSessionStart,timestamp,attemptNumber,isCorrect,quizDocId,quizId,selectedIds,slideId
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,405146,2026-05-01 19:51:56.837,1,1,Cy4SwJQyfIy29FKDESvW,quiz-1,"[""b""]",group-intro-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,411499,2026-05-01 19:52:03.193,1,1,ltiw4bDcXz6QJeOr90EF,quiz-2,"[""d""]",group-intro-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,424468,2026-05-01 19:52:16.160,1,1,kw6zaeYrwp0F5ycrfBmb,quiz-3,"[""b""]",group-intro-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,430996,2026-05-01 19:52:22.683,1,1,nj9zEoVSNRrbXOqkkr1a,quiz-4,"[""c""]",group-intro-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,441900,2026-05-01 19:52:33.595,1,1,9YkzZtbuqg83koDQMSMb,quiz-5,"[""b""]",group-intro-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,679001,2026-05-01 19:56:30.684,1,1,ZhTnS65svthSD5ZEAapu,quiz-8,"[""b""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,697015,2026-05-01 19:56:48.706,1,1,AqOSAol5nFbv8oerWZsv,quiz-9,"[""d""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,719702,2026-05-01 19:57:11.396,1,1,aJhO5wo1lbX2WeyRwXOJ,quiz-10,"[""a"",""b"",""d""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,779199,2026-05-01 19:58:10.905,1,1,kd248rant6IpjImqEOye,quiz-13,"[""b""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,784969,2026-05-01 19:58:16.667,1,0,PP2jJtgHiY4teNqplXnb,quiz-11,"[""c""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,807000,2026-05-01 19:58:38.696,1,1,FLIyutUeKsvCnXJLWd6h,quiz-8,"[""b""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,813569,2026-05-01 19:58:45.256,1,1,1k1Id44lwoxdzQNnzL4y,quiz-9,"[""d""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,826049,2026-05-01 19:58:57.735,1,1,vhDoJ4LOr7wJxqMwnRMY,quiz-10,"[""a"",""b"",""d""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,829966,2026-05-01 19:59:01.661,1,1,FNpdzkRi8ekbZUji1f7q,quiz-13,"[""b""]",group-commands-quiz
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,841984,2026-05-01 19:59:13.676,1,1,njWiAk2zGkl0MHpiPusq,quiz-11,"[""b""]",group-commands-quiz
